Timestamp,Model,Process,Metric,Score
2025-09-16 09:56:07,Model 11,Test,MAE,0.0802
2025-09-16 09:56:07,Model 11,Test,MAPE,0.1825
2025-09-16 09:56:07,Model 11,Test,R2,0.2168
2025-09-16 09:56:07,Model 11,Test,EVS,0.3496
2025-09-16 09:56:07,Model 11,encrypted-fhe,MSE,0.0119
2025-09-16 09:56:07,Model 11,encrypted-fhe,MAE,0.0891
2025-09-16 09:56:07,Model 11,encrypted-fhe,MAPE,0.2253
2025-09-16 09:56:07,Model 11,encrypted-fhe,R2,-0.4733
2025-09-16 09:56:07,Model 11,encrypted-fhe,EVS,0.2460
2025-09-16 09:56:07,Model 11,Validation,Time,10.0283
2025-09-16 09:56:07,Model 11,Test,Time,0.0025
2025-09-16 09:56:07,Model 11,encrypted-fhe,Time,54.6063
2025-09-16 09:56:07,Model 11,encrypted-fhe,EncryptionScheme,CKKS
2025-09-16 09:56:07,Model 11,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-16 09:56:07,Model 11,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-16 09:56:07,Model 11,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-16 09:56:07,Model 11,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-16 10:03:25,Model 12,Validation,MSE,0.0276
2025-09-16 10:03:25,Model 12,Validation,MAE,0.1306
2025-09-16 10:03:25,Model 12,Validation,MAPE,0.2914
2025-09-16 10:03:25,Model 12,Validation,R2,-1.2245
2025-09-16 10:03:25,Model 12,Validation,EVS,-0.1539
2025-09-16 10:03:25,Model 12,Test,MSE,0.0379
2025-09-16 10:03:25,Model 12,Test,MAE,0.1569
2025-09-16 10:03:25,Model 12,Test,MAPE,0.3602
2025-09-16 10:03:25,Model 12,Test,R2,-2.0144
2025-09-16 10:03:25,Model 12,Test,EVS,-0.0885
2025-09-16 10:03:25,Model 12,encrypted-fhe,MSE,0.0509
2025-09-16 10:03:25,Model 12,encrypted-fhe,MAE,0.1872
2025-09-16 10:03:25,Model 12,encrypted-fhe,MAPE,0.4776
2025-09-16 10:03:25,Model 12,encrypted-fhe,R2,-6.5843
2025-09-16 10:03:25,Model 12,encrypted-fhe,EVS,-0.8870
2025-09-16 10:03:25,Model 12,Validation,Time,14.2776
2025-09-16 10:03:25,Model 12,Test,Time,0.0012
2025-09-16 10:03:25,Model 12,encrypted-fhe,Time,54.3241
2025-09-16 10:03:25,Model 12,encrypted-fhe,EncryptionScheme,CKKS
2025-09-16 10:03:25,Model 12,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-16 10:03:25,Model 12,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-16 10:03:25,Model 12,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-16 10:03:25,Model 12,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-16 10:15:21,Model 13,Validation,MSE,0.0118
2025-09-16 10:15:21,Model 13,Validation,MAE,0.0814
2025-09-16 10:15:21,Model 13,Validation,MAPE,0.1770
2025-09-16 10:15:21,Model 13,Validation,R2,0.0389
2025-09-16 10:15:21,Model 13,Validation,EVS,0.1767
2025-09-16 10:15:21,Model 13,Test,MSE,0.0101
2025-09-16 10:15:21,Model 13,Test,MAE,0.0778
2025-09-16 10:15:21,Model 13,Test,MAPE,0.1916
2025-09-16 10:15:21,Model 13,Test,R2,0.2328
2025-09-16 10:15:21,Model 13,Test,EVS,0.3233
2025-09-16 10:15:21,Model 13,encrypted-fhe,MSE,0.0172
2025-09-16 10:15:21,Model 13,encrypted-fhe,MAE,0.1041
2025-09-16 10:15:21,Model 13,encrypted-fhe,MAPE,0.2629
2025-09-16 10:15:21,Model 13,encrypted-fhe,R2,-1.5791
2025-09-16 10:15:21,Model 13,encrypted-fhe,EVS,0.1335
2025-09-16 10:15:21,Model 13,Validation,Time,21.3082
2025-09-16 10:15:21,Model 13,Test,Time,0.0015
2025-09-16 10:15:21,Model 13,encrypted-fhe,Time,54.3088
2025-09-16 10:15:21,Model 13,encrypted-fhe,EncryptionScheme,CKKS
2025-09-16 10:15:21,Model 13,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-16 10:15:21,Model 13,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-16 10:15:21,Model 13,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-16 10:15:21,Model 13,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-16 10:18:32,Model 14,Validation,MSE,0.0104
2025-09-16 10:18:32,Model 14,Validation,MAE,0.0727
2025-09-16 10:18:32,Model 14,Validation,MAPE,0.1412
2025-09-16 10:18:32,Model 14,Validation,R2,0.1634
2025-09-16 10:18:32,Model 14,Validation,EVS,0.2866
2025-09-16 10:18:32,Model 14,Test,MSE,0.0129
2025-09-16 10:18:32,Model 14,Test,MAE,0.0938
2025-09-16 10:18:32,Model 14,Test,MAPE,0.1992
2025-09-16 10:18:32,Model 14,Test,R2,-0.0293
2025-09-16 10:18:32,Model 14,Test,EVS,0.2614
2025-09-16 10:18:32,Model 14,encrypted-fhe,MSE,0.0059
2025-09-16 10:18:32,Model 14,encrypted-fhe,MAE,0.0671
2025-09-16 10:18:32,Model 14,encrypted-fhe,MAPE,0.1656
2025-09-16 10:18:32,Model 14,encrypted-fhe,R2,0.1759
2025-09-16 10:18:32,Model 14,encrypted-fhe,EVS,0.2497
2025-09-16 10:18:32,Model 14,Validation,Time,28.4968
2025-09-16 10:18:32,Model 14,Test,Time,0.0012
2025-09-16 10:18:32,Model 14,encrypted-fhe,Time,54.4887
2025-09-16 10:18:32,Model 14,encrypted-fhe,EncryptionScheme,CKKS
2025-09-16 10:18:32,Model 14,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-16 10:18:32,Model 14,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-16 10:18:32,Model 14,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-16 10:18:32,Model 14,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-16 10:32:55,Model 15,Validation,MSE,0.0170
2025-09-16 10:32:55,Model 15,Validation,MAE,0.0961
2025-09-16 10:32:55,Model 15,Validation,MAPE,0.2079
2025-09-16 10:32:55,Model 15,Validation,R2,-0.2967
2025-09-16 10:32:55,Model 15,Validation,EVS,0.0818
2025-09-16 10:32:55,Model 15,Test,MSE,0.0227
2025-09-16 10:32:55,Model 15,Test,MAE,0.1228
2025-09-16 10:32:55,Model 15,Test,MAPE,0.2644
2025-09-16 10:32:55,Model 15,Test,R2,-0.8325
2025-09-16 10:32:55,Model 15,Test,EVS,0.1453
2025-09-16 10:32:55,Model 15,encrypted-fhe,MSE,0.0285
2025-09-16 10:32:55,Model 15,encrypted-fhe,MAE,0.1318
2025-09-16 10:32:55,Model 15,encrypted-fhe,MAPE,0.3432
2025-09-16 10:32:55,Model 15,encrypted-fhe,R2,-3.3009
2025-09-16 10:32:55,Model 15,encrypted-fhe,EVS,-0.5156
2025-09-16 10:32:55,Model 15,Validation,Time,44.6098
2025-09-16 10:32:55,Model 15,Test,Time,0.0015
2025-09-16 10:32:55,Model 15,encrypted-fhe,Time,54.2529
2025-09-16 10:32:55,Model 15,encrypted-fhe,EncryptionScheme,CKKS
2025-09-16 10:32:55,Model 15,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-16 10:32:55,Model 15,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-16 10:32:55,Model 15,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-16 10:32:55,Model 15,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-16 10:42:55,Model 16,Validation,MSE,0.0086
2025-09-16 10:42:55,Model 16,Validation,MAE,0.0655
2025-09-16 10:42:55,Model 16,Validation,MAPE,0.1394
2025-09-16 10:42:55,Model 16,Validation,R2,0.2976
2025-09-16 10:42:55,Model 16,Validation,EVS,0.3361
2025-09-16 10:42:55,Model 16,Test,MSE,0.0117
2025-09-16 10:42:55,Model 16,Test,MAE,0.0827
2025-09-16 10:42:55,Model 16,Test,MAPE,0.1988
2025-09-16 10:42:55,Model 16,Test,R2,0.0855
2025-09-16 10:42:55,Model 16,Test,EVS,0.2802
2025-09-16 10:42:55,Model 16,encrypted-fhe,MSE,0.0109
2025-09-16 10:42:55,Model 16,encrypted-fhe,MAE,0.0769
2025-09-16 10:42:55,Model 16,encrypted-fhe,MAPE,0.2049
2025-09-16 10:42:55,Model 16,encrypted-fhe,R2,-0.5479
2025-09-16 10:42:55,Model 16,encrypted-fhe,EVS,0.3066
2025-09-16 10:42:55,Model 16,Validation,Time,57.9097
2025-09-16 10:42:55,Model 16,Test,Time,0.0017
2025-09-16 10:42:55,Model 16,encrypted-fhe,Time,54.3717
2025-09-16 10:42:55,Model 16,encrypted-fhe,EncryptionScheme,CKKS
2025-09-16 10:42:55,Model 16,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-16 10:42:55,Model 16,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
2025-09-16 10:42:55,Model 16,encrypted-fhe,GlobalScale(2^26),67108864.0000
2025-09-16 10:42:55,Model 16,encrypted-fhe,AppEncryptionKeySize,212992.0000
2025-09-16 10:51:22,Model 17,Validation,MSE,0.0106
2025-09-16 10:51:22,Model 17,Validation,MAE,0.0739
2025-09-16 10:51:22,Model 17,Validation,MAPE,0.1551
2025-09-16 10:51:22,Model 17,Validation,R2,0.1453
2025-09-16 10:51:22,Model 17,Validation,EVS,0.1539
